Word,Frequency
come,46
hamptons,1
reworking,2
great,111
gatsby,3
flavor,6
unfortunately,79
many,155
subplots,9
lack,112
believable,19
spoil,1
otherwise,30
concept,17
alien,13
marvel,16
atmospheric,39
tension,49
aliens,4
packs,31
visceral,31
punch,23
typically,63
performance,595
sigourney,3
weaver,3
smart,166
devastatingly,2
funny,329
eve,5
hollywood,80
improves,10
age,43
crass,12
holiday,40
eat,8
presents,36
dysfunctional,3
hijinks,2
would,39
expect,44
genre,261
ethan,8
green,24
makes,189
annoying,4
protagonist,31
jokes,64
everyone,24
flat,41
paper,12
printed,1
dirty,13
unoriginal,25
cop,24
drama,394
wears,15
tired,45
influences,6
sleeves,2
teen,74
horror,246
flick,60
stay,14
alive,10
exploit,1
premise,227
real,50
scares,76
black,78
gold,14
account,26
winners,1
losers,3
global,7
coffee,2
trade,5
broderick,5
crawford,2
spellbinding,10
politician,3
willie,2
stark,4
director,386
robert,81
rossen,1
penn,9
warren,6
corrosive,1
effects,158
power,69
human,95
soul,23
street,25
fight,20
takes,128
immersive,4
look,296
pivotal,12
political,91
illuminating,10
entertaining,270
inspiring,18
equal,49
measure,31
dramedy,39
whose,106
familiar,135
outline,5
filled,51
rewarding,37
empathy,12
detail,29
motel,3
marks,63
michael,75
kang,1
soccer,4
fan,17
stylish,111
breezy,20
slice,11
sports,63
history,60
harrowing,15
naturalistic,10
holds,11
grip,4
huller,1
amazing,15
grace,40
quintessential,3
biopic,77
stately,7
noble,18
electrifying,21
thrilling,84
lacking,48
subtletly,1
drug,10
focus,26
likely,29
prompt,2
hard,82
questions,46
gone,22
ambitious,90
preachy,6
convincingly,4
parcel,1
romance,93
elements,50
slipstream,1
failed,5
experiment,7
confusing,25
coherent,13
energetic,54
satire,95
paparazzi,1
entertainment,67
industry,11
delirious,7
winner,7
indie,28
helmer,2
tom,45
dicillo,1
captivating,19
steve,38
buscemi,2
sienna,2
miller,10
seemingly,24
simple,38
gripping,110
although,98
sketches,3
ten,4
humorous,29
uneven,160
random,3
tone,64
cause,5
fall,22
apart,25
happening,2
begins,10
promise,20
descends,3
incoherent,21
unconvincing,17
trifle,5
moliere,1
satirist,1
ethereal,1
tangible,2
aleksandr,1
sokurov,1
humane,6
chechen,1
war,122
spectacular,24
turn,66
opera,10
star,157
galina,1
vishnevskay,1
lively,16
art,50
documentary,155
revealing,10
la,15
cultural,21
wasteland,2
comes,55
zemeckis,6
animated,82
take,114
tries,32
special,116
distract,9
array,20
jim,35
carrey,15
gary,7
oldman,2
parts,42
mystery,54
biography,3
water,16
engrossing,49
affecting,67
treatise,4
folly,5
obsession,9
hitting,9
sweet,99
notes,12
beverly,7
hills,10
chihuahua,1
little,233
disposable,9
boasting,19
stellar,48
fireflies,2
garden,3
tedious,23
dull,103
melodrama,76
instantly,5
featuring,90
wooden,10
minimal,6
eye,39
remake,84
asian,5
best,177
friend,13
girl,41
spends,4
time,121
vulgar,10
offensive,26
leaving,31
room,26
creative,31
clive,6
barker,4
short,75
story,754
potential,40
cult,22
lucky,6
ones,11
heartfelt,49
undone,22
overwrought,16
parade,4
coincidence,1
contrivance,2
run,17
fat,6
boy,42
sporadic,4
ultimately,176
formulaic,95
kate,15
beckinsale,1
lovely,31
ever,65
material,167
moribund,2
pacing,42
uninspired,53
leave,41
whiteout,1
cold,27
mild,10
wild,38
tween,5
mess,28
falls,33
face,17
due,36
poor,38
direction,216
king,55
corn,2
mass,3
food,21
production,56
deftly,34
balances,14
information,2
terror,16
advocate,2
fascinating,103
portrayal,41
controversial,18
figure,18
morally,4
unsettling,41
emotionally,78
darfur,3
always,53
engaging,78
cinema,86
succeeds,59
bringing,18
crisis,19
rails,6
ties,7
entirely,20
sheer,17
presence,25
arrogant,1
charismatic,32
nicky,2
barnes,2
untouchable,2
canvas,9
faithful,25
mental,7
illness,7
highlighted,4
terrific,62
pleasing,6
saawariya,1
fill,8
runtime,10
clichés,79
outnumber,3
points,29
interest,23
caine,7
excellent,63
flawless,5
something,37
average,25
heist,27
happens,10
vegas,5
mostly,58
settles,20
derivative,60
romantic,117
conventions,25
receives,1
help,58
pair,53
unlikable,15
leads,141
traditional,22
western,37
appaloosa,1
sets,28
psychology,5
intriguing,107
love,182
triangle,12
good,171
chemistry,114
stumbles,15
transition,13
stage,33
mortensen,5
cover,21
flaws,42
visitor,1
humanistic,5
explores,34
identity,19
immigration,3
major,16
issues,33
married,8
flashes,13
dark,151
wit,97
suffers,109
tonal,29
shifts,21
diane,10
lane,8
earnest,49
effort,50
untraceable,1
manages,60
nothing,59
hypocritical,2
message,79
miserable,1
insipid,5
protagonists,9
informers,1
provide,23
anything,39
think,11
sheen,4
fake,3
blond,1
meeting,1
resistance,4
offers,398
nuanced,26
view,21
invaded,1
people,47
ways,18
decide,5
back,76
buoyed,15
charm,120
matthew,20
role,96
marlon,5
brando,4
caricature,2
godfather,6
persona,5
freshman,1
solid,156
casting,15
clever,81
humor,265
pulpy,15
bloody,37
violent,72
korean,5
blackly,1
comedic,52
disappointing,37
overall,63
lightweight,16
efforts,82
squandered,5
rocker,3
bland,58
perfect,34
example,18
christmas,32
amok,2
portrait,76
immigrant,11
secret,20
grain,2
sprawling,20
intimate,34
loosely,6
based,27
original,210
tv,29
series,82
land,18
lost,64
decidedly,23
inconsistent,20
cohesive,8
plunging,1
nightmarish,4
hellscape,1
apartment,1
siege,3
rec,4
found,9
still,253
used,7
delivery,5
mechanism,1
sparse,3
rifkin,1
voyeuristic,3
sometimes,46
gimmick,7
part,90
overtones,8
often,135
preposterous,18
box,5
largely,80
piecemeal,1
committed,43
christopher,24
plummer,5
ca,143
save,41
man,161
chair,1
troubled,9
cliched,38
could,59
study,50
supplanted,1
true,81
mundane,7
times,54
plodding,11
dialogue,119
heavy,19
duchess,2
langeais,1
nevertheless,18
dissection,2
gender,10
relations,6
thoughtful,75
provocative,40
dutch,1
concerned,4
autism,2
online,2
gaming,1
bullying,1
loses,31
steam,8
final,47
act,41
body,20
lies,7
relies,28
russell,20
crowe,9
leonardo,9
dicaprio,9
elevate,31
beyond,57
conventional,23
espionage,6
grand,25
moments,115
ingenuity,7
poker,3
miss,18
hammer,7
perseveres,1
starring,35
vehicle,20
carolla,1
thai,4
japanese,6
prevent,8
shutter,2
lame,15
sleek,12
qualities,4
wasted,15
blend,70
action,356
british,39
chiller,7
strongly,6
drawn,18
broken,11
unfinished,5
undercooked,6
tense,67
prison,11
break,15
escapist,4
sharp,110
rupert,3
wyatt,4
sugar,5
poignant,82
splendid,5
stunning,52
vera,6
farmiga,5
quid,1
pro,4
quo,1
never,141
develops,4
convincing,16
whole,41
vengeance,6
leans,5
heavily,28
scenarios,3
brian,19
cox,3
sizemore,1
stink,1
weaker,6
scripting,3
road,47
commitment,11
cormac,4
mccarthy,10
vision,21
prove,47
unyielding,1
hauntingly,7
powerful,182
viggo,4
kodi,1
mcphee,3
manic,17
interesting,86
inspired,48
talented,227
talky,8
witless,15
treads,7
terrain,4
costumes,8
keira,4
knightley,6
subtly,7
feminist,9
period,74
women,28
toothless,6
mann,8
latest,17
technically,18
gangster,28
lead,82
truly,49
tilda,4
swinton,4
delivers,132
julia,19
old,40
dogs,11
nearly,21
attempt,30
physical,14
moral,22
uplift,12
misses,22
mark,44
counts,2
slick,25
surrogates,1
capitalize,2
relying,12
mindless,13
theme,8
worthy,51
promotion,1
witticisms,1
disappoints,5
luster,2
subject,180
notorious,5
generic,34
fare,38
functions,2
primer,12
hip,5
hop,3
icon,12
men,46
bernie,5
mac,2
samuel,8
hilarious,47
apes,9
tim,17
burton,12
slew,5
references,9
clear,25
crowds,3
igor,1
patched,1
together,66
antics,17
see,38
trying,17
please,31
cary,9
fukunaga,2
sensitive,47
insightful,51
deeply,58
authentic,9
ellen,7
burstyn,1
newcomer,15
christine,3
horne,1
stone,26
angel,6
escape,20
territory,33
squeakquel,1
kiddies,2
low,39
reliant,8
slapstick,49
chaotic,10
gathering,1
involving,18
thanks,142
ensemble,62
beautifully,122
filmed,58
powerfully,63
acted,92
night,60
achieves,6
absorbing,94
without,135
overindulging,1
contrivances,9
push,3
flashy,5
hyperkinetic,2
convoluted,25
felon,1
rather,55
hackneyed,12
depiction,22
held,18
pleasantly,15
kilmer,4
dorff,3
nasty,19
entry,58
torture,7
porn,4
canon,13
hopeless,3
acting,114
waste,13
technology,11
david,63
goyer,1
unborn,1
tame,7
cheap,29
border,3
silliness,18
chocolate,7
bizarre,22
martial,12
arts,14
slushy,1
unusual,16
breathtaking,16
stunts,15
taking,32
seriously,11
splinter,1
scores,9
edward,8
norton,6
leaves,28
grass,5
overpowered,5
jarring,18
sandra,11
bullock,12
ryan,17
reynolds,14
exhibit,2
let,28
proposal,2
devotion,4
formula,73
overly,66
quirky,56
incessantly,1
whimsical,12
requisite,10
orphan,2
build,10
degenerates,5
sleazy,2
sister,6
keeper,1
gets,70
adult,23
child,22
actors,46
approach,66
emotional,82
melodramatic,46
tearjerker,6
interplay,9
among,43
hangover,5
nails,1
raunchy,17
overshadow,2
flaw,2
tepid,9
satirical,22
undercurrents,1
slow,37
departures,1
quiet,16
affirming,1
tough,14
bittersweet,31
sharply,12
observed,7
romanian,2
intelligent,64
directing,20
straightforward,12
five,13
russian,6
ballerinas,1
bertrand,2
normand,1
ballerina,1
enlivened,13
sensibility,6
season,6
witch,13
unintentional,12
anderson,18
economical,1
occasionally,75
shuttle,1
catharsis,1
ride,40
modest,17
sex,34
march,2
cliche,12
riddled,3
american,127
affair,29
unsuccessfully,2
mixes,14
presidential,3
conspiracy,2
graphic,11
disturbing,42
artful,7
exploration,44
twisted,16
maternal,1
instinct,4
ambition,15
boasts,100
undeniably,66
source,133
red,31
baron,4
brought,32
sentimental,45
number,25
inaccuracies,4
replete,2
cliches,52
happy,17
tears,15
demi,4
moore,19
parker,8
posey,2
rip,1
torn,1
stale,23
sterling,9
mammoth,1
elephantine,1
scope,17
maintain,4
dramatic,47
dynamic,19
tightly,14
arranged,6
deliberately,9
joe,22
berlinger,1
crude,23
sobering,25
enraging,6
call,16
timely,70
handled,1
owen,8
moverman,1
woody,31
harrleson,1
ben,25
foster,13
bohdan,1
slama,1
stunningly,6
loaded,24
quietly,25
sincere,21
billy,20
customary,4
cynicism,3
leavened,3
tender,31
genuine,31
pathos,14
fame,6
choppy,11
editing,15
incomplete,5
characterizations,10
apparent,5
desire,9
appeal,58
high,79
school,41
musical,76
generation,13
outrage,2
difficult,55
ethical,4
successfully,26
homosexuality,4
politics,26
sophie,2
okonedo,1
sam,24
neill,3
alice,11
krige,1
wonderful,32
skin,14
delivering,37
strength,38
underlined,3
incredible,36
events,29
upon,28
enigmatic,9
photographed,9
marking,6
makers,4
thirst,3
satisfy,60
vampire,25
films,111
chan,14
wook,1
park,22
anime,4
blood,29
shoddily,5
amateurish,8
picture,33
kevin,37
spacey,7
almost,38
end,75
dragged,3
indifferent,5
comparisons,16
predecessor,113
mention,11
tony,11
jaa,2
ong,1
bak,1
extravagant,5
playful,5
tron,2
legacy,26
get,61
amidst,5
design,17
pedigree,7
titillating,6
chloe,2
deliver,69
heat,10
expected,7
sexual,22
welcome,38
throwback,14
thrillers,22
hole,4
scary,49
enjoyable,34
return,40
dante,7
arresting,30
challenging,20
confounding,4
say,45
everything,35
claire,5
shallow,45
cheerful,7
pretense,2
well,153
scale,15
around,25
world,102
days,47
charmingly,14
gives,88
appealing,53
joshua,4
goldin,1
contains,29
unexpected,20
bursts,9
honest,43
emotion,29
intentions,34
originality,31
collapse,3
theories,1
poses,8
terrifyingly,1
away,41
ignore,9
shamelessly,8
manipulative,19
nicholas,10
sparks,20
song,20
done,24
favors,9
miscast,23
overmatched,1
miley,2
cyrus,3
babies,1
joyous,4
celebration,15
humankind,1
adorable,6
images,13
insight,46
depth,81
worthwhile,20
lottery,1
ticket,4
buried,6
stereotypes,21
obvious,30
timelier,1
comedies,38
drew,10
barrymore,7
justin,8
long,51
going,25
distance,7
flatness,1
heigl,3
josh,9
duhamel,1
charming,173
couple,19
know,19
poorly,44
beginnings,2
inventive,48
frightening,25
yarn,8
frozen,3
neither,54
quite,157
justice,37
heartbreakingly,3
kimberly,2
reed,3
uses,86
speak,6
truths,8
bonds,5
revelatory,6
ghost,24
writer,16
central,68
ewan,3
mcgregor,4
repo,3
likable,54
rote,30
gore,66
raw,27
daddy,7
longlegs,1
new,185
standard,33
diy,1
bleak,28
haunting,45
yet,154
somehow,4
hopeful,5
winter,10
bone,6
debra,2
granik,1
starmaking,6
jennifer,19
lawrence,11
piece,53
warm,31
statement,15
values,23
kids,46
remarkable,41
string,6
subpar,13
sequels,21
reboot,9
predator,4
franchise,147
roots,13
lean,12
taut,39
compellingly,13
gritty,44
carpenter,12
loose,12
update,24
rio,5
bravo,3
ranks,15
filmmaker,26
bad,96
news,8
bears,8
rude,7
profane,7
cynical,21
shot,51
unforced,1
deft,31
understated,27
walter,10
matthau,3
bang,3
drum,1
slowly,8
inner,7
workings,3
baseball,12
club,12
players,8
personalities,4
magical,18
optical,1
enchanting,8
jean,7
cocteau,1
beauty,32
beast,6
remains,97
surreal,18
soulful,3
fairy,18
adaptations,28
match,24
leading,33
big,103
sleep,12
towering,12
achievement,11
noir,40
grim,31
vitality,1
undimmed,1
proving,13
key,13
suspense,54
turned,8
birds,5
terrifying,19
villains,7
rare,32
slasher,32
intelligence,36
wind,11
outbursts,2
fiendishly,6
viewing,66
rain,5
fair,6
share,16
ridley,13
scott,32
directorial,39
rises,26
frankenheimer,1
sunday,5
technical,18
level,40
bring,28
marlene,2
dietrich,1
steals,3
show,48
backstage,5
tragedy,27
lowly,2
professor,3
besotted,1
cruel,7
singer,8
large,20
anthony,14
hopkins,11
particular,4
bounty,4
retelling,19
mutiny,1
hms,1
saga,20
richard,29
pryor,3
trademark,16
ribald,7
tamped,1
brewster,2
millions,2
missed,15
opportunity,26
standout,15
james,67
caan,5
dee,3
williams,23
friendship,15
relationship,16
transcends,39
brief,9
encounter,1
adds,80
small,27
valuable,7
gem,14
filmography,35
depicting,4
doomed,6
illicit,1
connection,11
sensitivity,14
griffith,4
blossoms,1
master,17
iconic,20
pairing,5
paul,53
newman,10
redford,15
jaunty,1
burt,6
bacharach,1
score,16
butch,1
cassidy,1
sundance,1
kid,20
defining,1
poppy,1
pop,24
music,53
bye,4
birdie,1
silly,82
light,63
pink,5
carnival,1
souls,3
delightfully,33
chilling,31
proof,17
telling,20
carrie,3
horrifying,6
supernatural,19
powers,9
cruelty,2
angst,11
us,41
memorable,58
prom,4
scenes,46
undisputed,4
masterpiece,25
perhaps,34
casablanca,1
improved,6
humphrey,3
bogart,3
ingrid,2
bergman,8
goofy,29
dated,14
parody,12
spy,29
casino,6
royale,5
squanders,26
meandering,18
elizabeth,15
taylor,9
height,3
glamor,1
performing,1
prowess,2
feverish,3
tennessee,3
play,40
subtext,20
repression,1
providing,10
electric,10
undercurrent,8
influential,20
jacques,4
tourneau,1
infused,2
sexy,13
moody,9
sly,13
commentary,43
taboos,3
schrader,6
kinky,7
reimagining,3
cat,9
grisly,9
lurid,20
natassja,1
kinski,2
hypnotic,11
gasoline,1
fire,22
children,60
beginning,5
shucked,1
kiddie,6
circles,2
warmly,7
nostalgic,24
darkly,41
deserves,15
status,11
perennial,1
cimarron,1
supported,4
irene,3
dunne,2
basically,3
potentially,22
cleopatra,2
lush,8
ostentatious,1
endlessly,5
sags,1
collapses,7
colors,10
urban,9
gang,4
elevated,57
ultimate,5
schwarzenegger,9
threadbare,9
outsized,1
endless,9
creature,15
entertains,13
attempting,5
deeper,20
needs,11
seductive,5
stephen,30
frears,6
wickedly,5
day,44
dead,51
arguably,30
least,26
romero,8
undead,5
trilogy,31
give,36
chew,5
shocking,14
scathing,9
society,13
socially,9
minded,1
earth,19
stood,2
imparts,2
peace,3
understanding,3
didacticism,1
epics,8
zhivago,1
brilliantly,45
sweepingly,2
definitive,16
louis,9
stevenson,2
novella,2
innovative,12
cinematography,51
deranged,4
overacting,2
grinch,3
stole,1
bear,17
honors,30
become,10
yuletide,8
tradition,6
bela,3
lugosi,1
timeless,24
dracula,5
creepy,49
set,110
vampiric,2
roles,19
since,6
sporadically,17
certainly,29
dragnet,1
clumsy,19
honor,6
engrossingly,1
dressed,2
kill,22
stylishly,17
encapsulates,5
de,40
palma,10
signature,18
strengths,10
duel,2
brilliant,59
use,44
serving,11
heralding,4
arrival,16
generational,5
lens,7
truncated,1
frank,27
herbert,2
masterwork,2
dry,11
lynch,8
spice,4
relatively,9
straight,10
second,38
finds,128
admirable,19
synthesis,1
compassion,17
restraint,7
treating,1
outstanding,84
hurt,5
slightest,3
fatigue,1
begin,2
emerge,3
enforcer,1
riveting,34
better,95
predecessors,29
atmospherically,1
grimy,6
futuristic,8
metropolis,1
york,23
strange,36
jumble,7
weirdness,5
fahrenheit,2
suffuses,1
truffaut,3
morality,9
ray,10
bradbury,1
potboiler,12
sense,71
fatal,8
attraction,5
sultry,6
juicy,3
assured,35
vincent,11
minnelli,4
father,12
bride,6
endures,4
sparkling,8
era,40
campy,36
knowing,6
overcome,64
spacefaring,1
player,2
adoring,2
bevy,2
groupies,1
supervillain,1
named,6
ming,1
merciless,2
deliciouly,1
eerily,7
presicient,1
others,22
fly,7
shlocky,1
unnerving,7
parable,10
cronenberg,8
combines,23
affinity,1
developed,4
making,48
surprisingly,91
dancing,7
rest,11
footloose,2
nice,8
hunk,1
trashy,12
teenage,21
cheese,5
vein,6
earlier,24
fright,6
ghostly,1
living,15
next,20
aged,6
languidly,3
paced,26
wwii,2
particularly,44
lancaster,2
montgomery,1
clift,1
frosty,2
snowman,2
jolly,1
delight,15
crisp,1
affable,7
indelible,4
impression,6
corncob,1
pipe,1
button,3
nose,6
eyes,28
made,104
coal,1
reins,1
flamboyance,2
eerie,12
effect,31
fury,12
telekinetic,1
burn,7
rewards,28
patient,19
startling,10
pieces,47
peter,35
weir,5
devastating,10
wrenching,8
mel,12
gibson,8
young,110
soldier,5
fighting,7
deadly,6
battles,5
fueled,18
general,11
captures,47
buster,4
keaton,15
getaway,3
sees,12
peckinpah,4
mcqueen,6
kings,8
cool,21
working,24
throttle,1
bolstered,44
exceptional,8
storytelling,81
denzel,10
washington,15
glory,17
civil,9
movies,81
tremendously,5
guarantee,3
successful,36
literary,13
hairspray,2
waters,8
accessible,5
gently,10
subversive,35
retro,3
hilarity,9
suspenseful,37
viscerally,7
halloween,14
labor,8
laurence,7
olivier,5
hamlet,3
proved,2
shakespeare,18
adapted,7
paved,2
way,96
cinematic,79
interpretations,1
preoccupations,2
alienation,3
faith,17
given,32
avatar,2
superb,17
hardcore,15
soft,2
live,64
psychological,34
screwball,20
heaven,13
wait,6
beguiles,1
seamless,6
relief,3
charles,16
grodin,2
dianne,1
cannon,5
feudal,1
told,38
eccentric,23
perspective,37
hidden,6
fortress,1
akira,8
kurosawa,9
purely,12
streets,6
strands,13
led,87
clearly,11
overqualified,2
idris,4
elba,4
midst,3
fatally,18
contrived,39
house,43
wax,3
eerieness,1
museum,4
price,11
spooky,8
haunted,13
hill,20
book,48
lon,3
chaney,3
artfully,10
assembled,37
solidly,68
service,19
importance,4
works,53
docudrama,3
fictional,3
blake,8
wilson,15
indiscreet,1
spins,6
sturdy,7
delightful,27
pioneering,9
intolerance,1
crowning,1
jewel,2
allegories,1
invasion,9
snatchers,3
efficient,8
employing,2
camerawork,9
evocative,20
sound,14
expands,6
themes,131
ideas,71
lightly,2
explored,5
whale,3
invisible,5
loads,8
claude,5
rains,2
island,14
moreau,3
reasonably,24
pass,3
adapting,5
unpleasant,20
throttles,1
mutant,5
baby,13
theatrics,4
chaffey,1
jason,24
argonauts,1
outlandish,7
transportive,1
nostalgia,17
masterful,17
harryhausen,2
jesus,4
christ,5
superstar,5
spunk,1
sacrilege,1
miscasting,1
monotony,1
halts,1
groove,5
kong,11
monster,26
scream,7
cry,3
throughout,18
breakthrough,4
represents,45
significant,5
visual,140
upgrade,3
virtually,6
respect,10
misunderstood,4
release,4
today,22
looks,26
prescient,7
deniro,2
strangely,4
sympathetic,23
psychopath,1
anchor,6
spectacle,33
blessing,1
biblical,6
glamorous,5
provides,37
glimpse,33
ladykillers,1
macabre,4
quirkier,1
psychologically,5
laura,5
also,131
deliciously,9
murder,23
gorgeously,5
realized,15
legend,36
tawdry,1
serviceable,6
looking,25
fantasy,29
candy,12
sharper,2
wittier,2
lion,4
palace,1
intrigue,15
fantastic,27
katharine,3
drummer,1
mature,18
addition,28
catalogue,1
conclusion,23
compensates,10
dour,5
unpolished,4
remixing,1
roger,9
corman,3
shop,6
horrors,6
catchy,12
tunes,9
plus,5
cameos,4
likes,5
martin,39
bill,24
murray,16
kubrick,12
lolita,2
adapts,4
unadaptable,1
touch,27
mason,2
transforms,5
refreshingly,39
sacrificing,11
edge,27
perfectly,26
longest,3
yard,3
climax,5
landmark,11
thoughts,2
lorre,1
bold,24
craft,26
penetrating,8
magnificent,5
ambersons,1
establishes,5
orson,8
welles,9
seven,9
transplants,1
samurai,8
west,21
stars,121
losing,8
thematic,11
richness,2
labyrinthine,2
maltese,1
falcon,1
noirs,3
showcase,43
scofield,1
shaw,5
add,56
spark,19
bolt,2
uncomfortably,8
manchurian,1
candidate,2
distressingly,1
relevant,15
introduces,5
hannibal,3
lecter,1
manhunter,1
modish,2
fleshes,2
thomas,11
harris,6
heinous,2
creations,4
elegant,11
detachment,3
mannequin,1
dummy,2
outfitted,2
ludicrous,19
painfully,17
springs,3
impossibly,1
kim,5
cattrall,1
scriptwriter,1
paddy,1
chayefsky,1
ernest,2
borgnine,1
betsy,1
blair,6
appealingly,4
meteor,1
boring,18
destruction,5
pinball,2
game,63
decent,27
science,10
fiction,16
silent,11
mission,8
delicate,8
heft,14
sumptuous,15
ennio,2
morricone,3
staid,3
presentation,10
stirs,1
investment,6
favor,21
herman,1
melville,2
huston,5
moby,1
dick,9
plots,4
primo,1
gadgets,3
moonraker,1
mood,22
atmosphere,52
typical,25
universal,23
mummy,5
template,8
follow,14
offset,23
clark,2
gable,1
laughton,1
lloyd,3
godfrey,3
social,64
biting,14
near,20
abundance,13
zombie,31
tight,8
realistic,20
donaldson,1
spin,30
dense,11
gene,8
hackman,5
sean,16
costner,9
omen,2
eschews,2
excess,10
ramping,1
creates,7
enduring,16
along,56
complicated,14
pennies,1
tragic,17
delve,8
darkness,13
barrie,2
pan,6
heartwarming,34
exuberant,13
decades,16
retains,11
ability,8
scare,5
benchmarks,2
performed,12
wink,2
wry,5
piranha,2
unabashed,6
bite,27
planet,17
raises,14
culture,54
letting,4
inventiveness,6
pitiless,1
lee,48
marvin,2
point,46
blank,2
revenge,25
exemplifies,2
extreme,11
prejudice,4
smartly,38
scripted,18
importantly,1
consistently,36
poltergeist,2
altman,10
cartoon,9
messy,30
wildly,22
robust,6
resist,18
postman,3
rings,12
twice,5
web,6
business,13
side,43
producers,2
brooks,13
funniest,10
zero,11
mostel,1
jamie,6
curtis,4
promised,8
oversimplified,1
frustrating,22
exerted,1
overreliance,4
rugged,1
shoes,2
blends,31
multiple,13
moods,1
styles,2
balletic,2
badly,11
sonja,1
barbarian,2
oz,6
taps,2
darker,13
baum,1
intermittently,7
recaptures,1
magic,40
cruise,15
risky,3
examination,21
stop,6
exploring,10
whether,11
depends,2
audience,72
fondness,5
swayze,1
tolerance,9
violently,2
cheesy,29
robin,26
hood,11
cute,14
colorful,66
majesty,2
excitement,16
studio,12
gory,34
robocop,3
ultraviolence,1
disguise,9
boxer,4
thoroughly,82
sylvester,6
stallone,8
brush,1
aside,18
complaints,2
case,26
zeffirelli,2
romeo,1
juliet,4
rudolph,1
reindeer,1
iconography,1
spirited,16
soundtrack,32
difference,4
running,29
scared,1
strike,15
consistent,17
balance,24
keeps,23
things,32
immense,3
sabrina,2
resonant,34
scanners,1
head,13
explode,1
scarface,1
foregoes,3
different,20
kind,20
blending,7
earliest,2
personal,31
favorite,9
deals,2
finely,28
shaded,2
risk,2
neck,1
brother,13
dig,7
circuit,4
hardly,10
johnny,22
robot,4
regarded,5
panther,4
sellers,2
buffoonery,1
dreamscape,2
grandeur,10
air,13
menacing,6
sorcerer,3
obstinately,1
motors,2
unpredictable,24
speed,10
sequences,70
insane,4
restored,1
kept,2
afloat,4
ron,5
howard,17
unobtrusive,1
hanks,12
daryl,1
hannah,7
dreyfuss,5
emilio,2
estevez,2
company,8
stakeout,1
bawdy,2
procedural,12
mines,8
pleasure,14
odd,21
born,9
judy,3
garland,1
possibly,7
greatest,25
prompts,1
iteration,2
fizzle,2
quickly,17
pooches,2
villain,9
cruella,1
vil,1
roy,2
rendition,3
streetcar,1
explosive,6
elia,2
kazan,5
searing,22
peak,25
ross,4
gentle,19
sweetly,20
ambling,3
neil,16
simon,8
reverent,10
purists,2
